End Time,Artist Name,Track Name,Milliseconds Played
2024-04-17 11:58,Dr. Peacock,Lose Your Mind,63604
2024-04-17 12:01,Brennan Heart,Never Go To Sleep,160001
2024-04-17 12:08,Anderex,I SEE THE FUTURE,149250
2024-04-17 12:10,Refuzion,Live Until I Die,153585
2024-04-17 12:13,Phuture Noize,Polestar,168191
2024-04-17 12:17,Sickmode,DISCOVER THE MAYHEM (Official REBiRTH Festival 2024 Anthem),238875
2024-04-17 12:20,Da Tweekaz,I Want It All,182852
2024-04-17 12:23,Hard Driver,AM-PM (Gluttony),168152
2024-04-17 12:26,Riot Shift,OUR DESTRUCTION,196406
2024-04-17 12:29,Sub Zero Project,TECHNOBOTS,142463
2024-04-17 12:31,Phuture Noize,Wide Awake,147230
2024-04-17 12:34,The Purge,BEYOND TRIPPIN',156093
2024-04-17 12:36,Fraw,Shots On The Floor,129378
2024-04-17 12:39,Radical Redemption,No Retaliation,224516
2024-04-17 12:42,E-Force,Escape Reality,150475
2024-04-17 12:44,Mr. Glass,ROCKETEER HARDSTYLE (Sped Up),114000
2024-04-17 12:46,Phuture Noize,Stars (Take Me Higher),141413
2024-04-17 12:53,Ecstatic,Again & Again,192800
2024-04-17 12:57,Rejecta,Lose Control,192000
2024-04-17 13:00,Vertile,Golden Hour,217532
2024-04-17 13:03,D-Sturb,Lost In A Fantasy,195003
2024-04-17 13:06,Outsiders,Free (feat. Starsplash),150000
2024-04-17 13:21,Phuture Noize,My Salvation,147374
2024-04-17 13:23,Nutrix,You Said It,144270
2024-04-17 13:26,letyoudown,Sweater Weather Hardstyle,135000
2024-04-17 13:28,Dual Damage,Can't Get You Outta My Head,156378
2024-04-17 13:32,Brennan Heart,When Daylight Strikes (Intents Kingdom of Unity 2023 Anthem),224667
2024-04-17 16:08,Phuture Noize,The Catalyst,9023
2024-04-17 16:08,Hard Driver,Closer & Closer (Lust),107598
2024-04-17 16:38,Joost,Europapa (Used Remix),146896
2024-04-17 16:41,Joost,Europapa (DJ Paul Elstak Remix),181333
2024-04-17 16:43,Joost,Europapa (Sped Up),122851
2024-04-17 16:44,Joost,Europapa (Ringtone),57165
2024-04-17 16:46,Jaxomy,Pedro,144846
2024-04-17 16:48,Vieze Asbak,Bent U Dronken,108221
2024-04-17 16:51,Anderex,I SEE THE FUTURE,149250
2024-04-17 16:52,Kale Toeter,Kangoeroe Wtf,99378
2024-04-17 16:55,Natte Visstick,Samson & Ket - Vieze Asbak Remix,146575
2024-04-17 16:57,Rauw Vlees,Wazaap Peeps,108967
2024-04-17 16:58,gladde paling,danser,85333
2024-04-17 16:59,Fraw,Shots On The Floor,65259
2024-04-17 17:02,Serzo,Dance With Me,186000
2024-04-17 17:03,Unload,The Next Gen,32396
2024-04-17 17:03,Spectre,Ready For War,41440
2024-04-17 17:05,Luciid,Fxck - Devin Wild Edit,108774
2024-04-17 17:06,Dual Damage,Total Demolition (Official Get Wrecked Anthem 2023),10419
2024-04-17 17:06,Element,You Lose,53496
2024-04-17 17:06,Luciid,Fxck - Devin Wild Edit,7167
2024-04-17 17:06,Fraw,Future Sounds - Sparkz Remix,6620
2024-04-17 17:07,Rejecta,Lose Control,17784
2024-04-17 17:07,R3T3P,Obstacle,6635
2024-04-17 17:07,KELTEK,Where I Belong,9354
